"[0, 1]",0,1,2,256.86
"[0, 1]",0,1,2,256.86
"[1, 2]",0,2,3,246.23
"[1, 2]",0,2,3,246.23
"[2, 3]",0,3,4,256.71
"[2, 3]",0,3,4,256.71
"[3, 4]",0,4,5,240.78
"[3, 4]",0,4,5,240.78
"[4, 5]",0,5,6,256.76
"[4, 5]",0,5,6,256.76
"[6, 7]",0,7,8,245.76
"[6, 7]",0,7,8,245.76
"[5, 6]",0,7,6,244.72
"[5, 6]",0,7,6,244.72
"[7, 8]",0,8,9,249.94
"[7, 8]",0,8,9,249.94
"[8, 9]",0,9,10,265.31
"[8, 9]",0,9,10,265.31
"[10, 11]",0,11,12,265.66
"[10, 11]",0,11,12,265.66
"[12, 10]",0,12,13,248.12
"[12, 10]",0,12,13,248.12
"[13, 12]",0,13,14,236.53
"[13, 12]",0,13,14,236.53
"[14, 13]",0,14,15,252.23
"[14, 13]",0,14,15,252.23
"[15, 14]",0,15,16,239.59
"[15, 14]",0,15,16,239.59
"[16, 15]",0,16,17,247.68
"[16, 15]",0,16,17,247.68
"[16, 17]",0,17,18,253.69
"[16, 17]",0,17,18,253.69
"[18, 17]",0,18,19,255.17
"[18, 17]",0,18,19,255.17
"[19, 20]",0,20,21,44.67
"[19, 20]",0,20,21,44.67
"[21, 22]",0,22,23,261.74
"[21, 22]",0,22,23,261.74
"[20, 21]",0,22,21,219.15
"[20, 21]",0,22,21,219.15
"[22, 23]",0,23,24,260.26
"[22, 23]",0,23,24,260.26
"[23, 24]",0,24,25,260.48
"[23, 24]",0,24,25,260.48
"[24, 25]",0,25,26,261.32
"[24, 25]",0,25,26,261.32
"[25, 26]",0,26,27,260.71
"[25, 26]",0,26,27,260.71
"[26, 27]",0,27,28,262.26
"[26, 27]",0,27,28,262.26
"[27, 28]",0,28,29,279.39
"[27, 28]",0,28,29,279.39
"[29, 30]",30,31,32,273.77
"[29, 31]",30,31,33,239.60
"[32, 33]",30,1,2,252.06
"[32, 33]",30,1,2,252.06
"[33, 34]",30,2,3,248.18
"[33, 34]",30,2,3,248.18
"[34, 35]",30,3,4,258.62
"[34, 35]",30,3,4,258.62
"[35, 36]",30,4,5,239.43
"[35, 36]",30,4,5,239.43
"[36, 37]",30,5,6,257.16
"[36, 37]",30,5,6,257.16
"[38, 39]",30,7,8,247.66
"[38, 39]",30,7,8,247.66
"[37, 38]",30,7,6,245.03
"[37, 38]",30,7,6,245.03
"[39, 40]",30,8,9,250.28
"[39, 40]",30,8,9,250.28
"[40, 41]",30,9,10,266.36
"[40, 41]",30,9,10,266.36
"[41, 42]",30,10,34,265.97
"[41, 42]",30,10,34,265.97
"[43, 44]",30,13,14,242.42
"[43, 44]",30,13,14,242.42
"[44, 45]",30,14,15,245.36
"[44, 45]",30,14,15,245.36
"[45, 46]",30,15,16,244.96
"[45, 46]",30,15,16,244.96
"[46, 47]",30,16,17,243.01
"[46, 47]",30,16,17,243.01
"[47, 48]",30,17,18,257.71
"[47, 48]",30,17,18,257.71
"[48, 49]",30,18,19,276.99
"[48, 49]",30,18,19,276.99
"[49, 50]",30,19,35,277.13
"[49, 50]",30,19,35,277.13
"[50, 51]",30,35,36,257.43
"[50, 51]",30,35,36,257.43
"[51, 52]",30,36,37,258.02
"[51, 52]",30,36,37,258.02
"[52, 53]",30,37,38,252.20
"[52, 53]",30,37,38,252.20
"[54, 55]",30,39,40,258.01
"[54, 55]",30,39,40,258.01
"[55, 56]",30,40,41,263.06
"[55, 56]",30,40,41,263.06
"[57, 58]",30,42,43,255.92
"[57, 58]",30,42,43,255.92
"[58, 59]",30,43,44,259.54
"[58, 59]",30,43,44,259.54
"[59, 60]",30,44,45,258.08
"[59, 60]",30,44,45,258.08
"[60, 61]",30,45,46,257.03
"[60, 61]",30,45,46,257.03
"[62, 63]",30,47,48,284.50
"[62, 63]",30,47,48,284.50
"[64, 65]",30,49,50,267.06
"[64, 65]",30,49,50,267.06
"[66, 65]",30,50,51,257.54
"[66, 65]",30,50,51,257.54
"[67, 66]",30,51,52,261.75
"[67, 66]",30,51,52,261.75
"[68, 67]",30,52,53,262.05
"[69, 68]",30,53,54,263.15
"[69, 70]",30,54,55,280.35
"[69, 70]",30,54,55,280.35
"[71, 72]",56,37,38,257.28
"[71, 72]",56,37,38,257.28
"[72, 73]",56,38,39,257.94
"[72, 73]",56,38,39,257.94
"[73, 74]",56,39,40,257.14
"[73, 74]",56,39,40,257.14
"[75, 76]",56,57,58,280.72
"[75, 76]",56,57,58,280.72
"[76, 77]",56,58,59,260.14
"[76, 77]",56,58,59,260.14
"[77, 78]",56,59,60,261.15
"[77, 78]",56,59,60,261.15
