Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.98749104757336 40.72457376287186,-73.98704399194158 40.72519130151169",1 AVENUE,EAST    3 STREET,EAST    4 STREET,256.86
"-73.98749104757336 40.72457376287186,-73.98704399194158 40.72519130151169",1 AVENUE,EAST    3 STREET,EAST    4 STREET,256.86
"-73.98704399194158 40.72519130151169,-73.98660321952282 40.72577807680722",1 AVENUE,EAST    4 STREET,EAST    5 STREET,246.23
"-73.98704399194158 40.72519130151169,-73.98660321952282 40.72577807680722",1 AVENUE,EAST    4 STREET,EAST    5 STREET,246.23
"-73.98660321952282 40.72577807680722,-73.98616358058572 40.726398231472096",1 AVENUE,EAST    5 STREET,EAST    6 STREET,256.71
"-73.98660321952282 40.72577807680722,-73.98616358058572 40.726398231472096",1 AVENUE,EAST    5 STREET,EAST    6 STREET,256.71
"-73.98616358058572 40.726398231472096,-73.9857384194535 40.72697455933437",1 AVENUE,EAST    6 STREET,EAST    7 STREET,240.78
"-73.98616358058572 40.726398231472096,-73.9857384194535 40.72697455933437",1 AVENUE,EAST    6 STREET,EAST    7 STREET,240.78
"-73.9857384194535 40.72697455933437,-73.98529382893115 40.72759283780792",1 AVENUE,EAST    7 STREET,ST MARKS PLACE,256.76
"-73.9857384194535 40.72697455933437,-73.98529382893115 40.72759283780792",1 AVENUE,EAST    7 STREET,ST MARKS PLACE,256.76
"-73.984857631691 40.728176833250224,-73.98443161455366 40.72876843766956",1 AVENUE,EAST    9 STREET,EAST   10 STREET,245.76
"-73.984857631691 40.728176833250224,-73.98443161455366 40.72876843766956",1 AVENUE,EAST    9 STREET,EAST   10 STREET,245.76
"-73.98529382893115 40.72759283780792,-73.984857631691 40.728176833250224",1 AVENUE,EAST    9 STREET,ST MARKS PLACE,244.72
"-73.98529382893115 40.72759283780792,-73.984857631691 40.728176833250224",1 AVENUE,EAST    9 STREET,ST MARKS PLACE,244.72
"-73.98443161455366 40.72876843766956,-73.98399733806507 40.72936968466575",1 AVENUE,EAST   10 STREET,EAST   11 STREET,249.94
"-73.98443161455366 40.72876843766956,-73.98399733806507 40.72936968466575",1 AVENUE,EAST   10 STREET,EAST   11 STREET,249.94
"-73.98399733806507 40.72936968466575,-73.983535924959 40.730007728080736",1 AVENUE,EAST   11 STREET,EAST   12 STREET,265.31
"-73.98399733806507 40.72936968466575,-73.983535924959 40.730007728080736",1 AVENUE,EAST   11 STREET,EAST   12 STREET,265.31
"-73.9814991033613 40.73261859590116,-73.98180339274914 40.7322047978256,-73.98196782312962 40.73198256024378",1 AVENUE,EAST   15 STREET,EAST   16 STREET,265.66
"-73.9814991033613 40.73261859590116,-73.98180339274914 40.7322047978256,-73.98196782312962 40.73198256024378",1 AVENUE,EAST   15 STREET,EAST   16 STREET,265.66
"-73.98105847039052 40.7332114143325,-73.98125724788093 40.73293857488199,-73.9814991033613 40.73261859590116",1 AVENUE,EAST   16 STREET,EAST   17 STREET,248.12
"-73.98105847039052 40.7332114143325,-73.98125724788093 40.73293857488199,-73.9814991033613 40.73261859590116",1 AVENUE,EAST   16 STREET,EAST   17 STREET,248.12
"-73.98064498884449 40.73377931853945,-73.98088975704057 40.73343706999809,-73.98105847039052 40.7332114143325",1 AVENUE,EAST   17 STREET,EAST   18 STREET,236.53
"-73.98064498884449 40.73377931853945,-73.98088975704057 40.73343706999809,-73.98105847039052 40.7332114143325",1 AVENUE,EAST   17 STREET,EAST   18 STREET,236.53
"-73.98020496174213 40.734385321653335,-73.98041991325067 40.7340898206839,-73.98064498884449 40.73377931853945",1 AVENUE,EAST   18 STREET,EAST   19 STREET,252.23
"-73.98020496174213 40.734385321653335,-73.98041991325067 40.7340898206839,-73.98064498884449 40.73377931853945",1 AVENUE,EAST   18 STREET,EAST   19 STREET,252.23
"-73.97978903971482 40.73496181762538,-73.98009050558666 40.73454437035035,-73.98020496174213 40.734385321653335",1 AVENUE,EAST   19 STREET,EAST   20 STREET,239.59
"-73.97978903971482 40.73496181762538,-73.98009050558666 40.73454437035035,-73.98020496174213 40.734385321653335",1 AVENUE,EAST   19 STREET,EAST   20 STREET,239.59
"-73.97934819537578 40.7355531119324,-73.97944605950286 40.7354145142694,-73.97978903971482 40.73496181762538",1 AVENUE,EAST   20 STREET,EAST   21 STREET,247.68
"-73.97934819537578 40.7355531119324,-73.97944605950286 40.7354145142694,-73.97978903971482 40.73496181762538",1 AVENUE,EAST   20 STREET,EAST   21 STREET,247.68
"-73.97934819537578 40.7355531119324,-73.97890917313488 40.73616412595814",1 AVENUE,EAST   21 STREET,EAST   22 STREET,253.69
"-73.97934819537578 40.7355531119324,-73.97890917313488 40.73616412595814",1 AVENUE,EAST   21 STREET,EAST   22 STREET,253.69
"-73.97849845590527 40.7367909564628,-73.97857449810634 40.736677281540246,-73.97890917313488 40.73616412595814",1 AVENUE,EAST   22 STREET,EAST   23 STREET,255.17
"-73.97849845590527 40.7367909564628,-73.97857449810634 40.736677281540246,-73.97890917313488 40.73616412595814",1 AVENUE,EAST   22 STREET,EAST   23 STREET,255.17
"-73.96661581830968 40.753243424518885,-73.9665367324466 40.75335025646687",1 AVENUE,EAST   49 STREET,MITCHELL PLACE,44.67
"-73.96661581830968 40.753243424518885,-73.9665367324466 40.75335025646687",1 AVENUE,EAST   49 STREET,MITCHELL PLACE,44.67
"-73.96615683428759 40.753877850745056,-73.96569619921596 40.75450506965098",1 AVENUE,EAST   50 STREET,EAST   51 STREET,261.74
"-73.96615683428759 40.753877850745056,-73.96569619921596 40.75450506965098",1 AVENUE,EAST   50 STREET,EAST   51 STREET,261.74
