Through,From,To,Distance
1 AVENUE,EAST    3 STREET,EAST    4 STREET,256.86
1 AVENUE,EAST    3 STREET,EAST    4 STREET,256.86
1 AVENUE,EAST    4 STREET,EAST    5 STREET,246.23
1 AVENUE,EAST    4 STREET,EAST    5 STREET,246.23
1 AVENUE,EAST    5 STREET,EAST    6 STREET,256.71
1 AVENUE,EAST    5 STREET,EAST    6 STREET,256.71
1 AVENUE,EAST    6 STREET,EAST    7 STREET,240.78
1 AVENUE,EAST    6 STREET,EAST    7 STREET,240.78
1 AVENUE,EAST    7 STREET,ST MARKS PLACE,256.76
1 AVENUE,EAST    7 STREET,ST MARKS PLACE,256.76
1 AVENUE,EAST    9 STREET,EAST   10 STREET,245.76
1 AVENUE,EAST    9 STREET,EAST   10 STREET,245.76
1 AVENUE,EAST    9 STREET,ST MARKS PLACE,244.72
1 AVENUE,EAST    9 STREET,ST MARKS PLACE,244.72
1 AVENUE,EAST   10 STREET,EAST   11 STREET,249.94
1 AVENUE,EAST   10 STREET,EAST   11 STREET,249.94
1 AVENUE,EAST   11 STREET,EAST   12 STREET,265.31
1 AVENUE,EAST   11 STREET,EAST   12 STREET,265.31
1 AVENUE,EAST   15 STREET,EAST   16 STREET,265.66
1 AVENUE,EAST   15 STREET,EAST   16 STREET,265.66
1 AVENUE,EAST   16 STREET,EAST   17 STREET,248.12
1 AVENUE,EAST   16 STREET,EAST   17 STREET,248.12
1 AVENUE,EAST   17 STREET,EAST   18 STREET,236.53
1 AVENUE,EAST   17 STREET,EAST   18 STREET,236.53
1 AVENUE,EAST   18 STREET,EAST   19 STREET,252.23
1 AVENUE,EAST   18 STREET,EAST   19 STREET,252.23
1 AVENUE,EAST   19 STREET,EAST   20 STREET,239.59
1 AVENUE,EAST   19 STREET,EAST   20 STREET,239.59
1 AVENUE,EAST   20 STREET,EAST   21 STREET,247.68
1 AVENUE,EAST   20 STREET,EAST   21 STREET,247.68
1 AVENUE,EAST   21 STREET,EAST   22 STREET,253.69
1 AVENUE,EAST   21 STREET,EAST   22 STREET,253.69
1 AVENUE,EAST   22 STREET,EAST   23 STREET,255.17
1 AVENUE,EAST   22 STREET,EAST   23 STREET,255.17
1 AVENUE,EAST   49 STREET,MITCHELL PLACE,44.67
1 AVENUE,EAST   49 STREET,MITCHELL PLACE,44.67
1 AVENUE,EAST   50 STREET,EAST   51 STREET,261.74
1 AVENUE,EAST   50 STREET,EAST   51 STREET,261.74
1 AVENUE,EAST   50 STREET,MITCHELL PLACE,219.15
1 AVENUE,EAST   50 STREET,MITCHELL PLACE,219.15
1 AVENUE,EAST   51 STREET,EAST   52 STREET,260.26
1 AVENUE,EAST   51 STREET,EAST   52 STREET,260.26
1 AVENUE,EAST   52 STREET,EAST   53 STREET,260.48
1 AVENUE,EAST   52 STREET,EAST   53 STREET,260.48
1 AVENUE,EAST   53 STREET,EAST   54 STREET,261.32
1 AVENUE,EAST   53 STREET,EAST   54 STREET,261.32
1 AVENUE,EAST   54 STREET,EAST   55 STREET,260.71
1 AVENUE,EAST   54 STREET,EAST   55 STREET,260.71
1 AVENUE,EAST   55 STREET,EAST   56 STREET,262.26
1 AVENUE,EAST   55 STREET,EAST   56 STREET,262.26
1 AVENUE,EAST   56 STREET,EAST   57 STREET,279.39
1 AVENUE,EAST   56 STREET,EAST   57 STREET,279.39
2 AVENUE,EAST    1 STREET,EAST    2 STREET,273.77
